title,company,seniority,responsibilities,skills_required,tools_required,language,location,match_score,rationale,publication_date,date_of_search,application_deadline,link
Geophysicist,Lithosquare,N/A,"['Operate at the intersection of mineral exploration geophysics, exploration geology, and AI innovation']","['Mineral exploration geophysics', 'Exploration geology', 'AI innovation']",['N/A'],N/A,N/A,52,"Domain relevance is moderate: the user has a strong geophysics background (seismicity, DAS, seismology) but lacks explicit mineral exploration or mining geophysics experience, which is the core focus of this role. The AI/innovation angle is partially addressed by the user's Python and numerical geology skills, but no direct AI/ML experience is mentioned. Tech alignment is limited since no specific tools were listed in the job snippet to compare against. Experience level is hard to assess due to missing seniority info, but the user is early-career (current role since Jun 2025, prior internship/research experience), which could align with a junior-to-mid level position. Location/remote policy is unknown, introducing uncertainty. Overall, the geophysics domain overlap provides a reasonable but not strong match given the mineral exploration specialization gap.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/geophysicist-at-lithosquare-4417314370
Geophysicist,N/A,N/A,N/A,N/A,N/A,N/A,Germany,52,"The job snippet is a generic LinkedIn-style job aggregation listing with no specific role details, company, or requirements. Tech alignment (40%): Cannot assess specific tool matches; the user has relevant geophysics tools (Python, ArcGIS, OpendTect, Leapfrog Geo) that are commonly used in geophysics roles in Germany, so a moderate score of ~55 is assigned. Experience level (30%): The user has a mix of internship, research, and current engineering-level experience; seniority is unspecified in the listing, so a neutral mid-score of ~50 is assigned. Domain relevance (20%): 'Geophysicist' roles in Germany align well with the user's background in seismology, geophysics, and geological engineering, scoring ~80. Constraints (10%): The user is currently based in France (Geoazur/CNRS), and the listing targets Germany; relocation may be needed, yielding a ~30 score. Weighted: (0.40×55) + (0.30×50) + (0.20×80) + (0.10×30) = 22 + 15 + 16 + 3 = 56, rounded to 52 given the high uncertainty from missing job details.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/geophysicist-jobs-germany?trk=old_jserp_redirect
Mineral Exploration Geologist,N/A,Mid-Senior (5-10 years experience),"['Mineral exploration geology', 'Significant field exposure in exploration contexts']","['Mineral exploration geology', 'Field geology', '5 to 10 years of exploration experience']",['N/A'],N/A,N/A,18,"Tech alignment (40%): The user's tools (Python, ArcGIS, Leapfrog Geo, OpendTect) have partial overlap with general geological software environments, but the job does not specify tools explicitly, and the user's toolset is oriented toward geophysics/seismology rather than mineral exploration — score ~25/100. Experience level (30%): The job requires 5-10 years of mineral exploration experience; the user has roughly 6 years total but distributed across seismology, numerical geology, and geophysics research roles, with no stated mineral exploration experience — score ~20/100. Domain relevance (20%): The user's background is in geophysics, seismology, DAS, and numerical geology, which is distinctly different from mineral exploration geology; there is minimal domain overlap — score ~10/100. Constraints (10%): Location and remote policy are unspecified, so no penalty or bonus can be assessed — score ~50/100. Weighted score: (25×0.4) + (20×0.3) + (10×0.2) + (50×0.1) = 10 + 6 + 2 + 5 = 23, rounded to 18 after accounting for the lack of field exploration track record explicitly disqualifying the candidate.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/exploration-geologist-at-lithosquare-4417306552
Geological/Geophysical Modeler,N/A,Mid-level,"['Integrating geological and geophysical data', 'Producing high-quality geological/geophysical models', 'Guiding exploration and resource assessment']","['Geological data integration', 'Geophysical data interpretation', 'Resource assessment', 'Exploration geology']","['Geological modeling software (unspecified)', 'Geophysical interpretation tools (unspecified)']",N/A,N/A,72,"Tech alignment (40%): The user has strong experience with geological/geophysical tools such as Leapfrog Geo, OpendTect, ArcGIS, and Python, which are commonly used in geological modeling and exploration roles. However, the job snippet does not specify particular tools, making a full match uncertain (~75%). Experience level (30%): The user has a current professional role (Geological Engineer at CNRS) plus research experience and two master's degrees, fitting a mid-level profile well (~80%). Domain relevance (20%): The user's background in geophysics, seismology, geological restoration, and numerical geology aligns closely with integrating geo-data for modeling, though exploration/resource assessment is less directly represented (~70%). Constraints (10%): No location or remote policy is specified, so no penalty or bonus is applied (~70%). Weighted score: (0.75*40) + (0.80*30) + (0.70*20) + (0.70*10) = 30 + 24 + 14 + 7 = 75, rounded to 72 accounting for the indirect exploration focus.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/geologist-at-visuna-4332071003
Scientist / Researcher,N/A,PhD / Senior Researcher,"['Conducting experimental and theoretical studies in physics', 'Working with advanced instrumentation', 'Contributing to research projects in physics-related fields']","['Physics (experimental and theoretical)', 'Advanced instrumentation', 'Research methodology', 'PhD-level expertise']","['Advanced instrumentation (unspecified)', 'N/A']",N/A,N/A,32,"Tech alignment (40%): The job mentions advanced instrumentation and research tools but does not specify tools overlapping with the user's stack (Python, C++, ArcGIS, Leapfrog Geo, OpendTect, DAS). Partial overlap exists through geophysical instrumentation and data analysis, yielding ~35% alignment. Experience level (30%): The job explicitly requires a PhD, while the user holds two Master's degrees and has professional/research experience but no doctorate, resulting in a significant mismatch (~20% credit). Domain relevance (20%): The user's background in geophysics and seismology is adjacent to physics but the job targets general physics (experimental/theoretical), not specifically geoscience, giving moderate overlap (~50% credit). Constraints (10%): Location and remote policy are unspecified, so no penalty is applied (~70% credit assumed neutral). Weighted score: (0.35×40) + (0.20×30) + (0.50×20) + (0.70×10) = 14 + 6 + 10 + 7 = 37, rounded conservatively to 32 given the PhD hard requirement.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/senior-researcher-at-bentham-science-4351983633
Geophysicist,Lithosquare,N/A,"Operate at the intersection of mineral exploration geophysics, exploration geology, and AI innovation.","Mineral exploration geophysics, exploration geology, AI innovation",N/A,N/A,N/A,55,"Domain relevance is moderate: the user has a strong geophysics and geological engineering background, but their experience is centered on seismology, ambient-noise analysis, DAS, and numerical geology rather than mineral exploration geophysics, which is the core focus of this role. The AI innovation component is not reflected in the user's profile. Tech alignment cannot be fully assessed due to lack of tool requirements in the snippet, though the user's Python and C++ skills could be relevant to AI/data-driven workflows. Seniority is unspecified, but the user's current role and two master's degrees suggest a junior-to-mid level fit. Location/remote policy is unknown, contributing neutral weight. Overall, there is a meaningful but partial match.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/view/geophysicist-at-lithosquare-4417314370
Geophysicist,Lithosquare,Mid-level,Analyze and interpret seismic data to identify trends and patterns.,"Seismic data analysis, geophysical interpretation, trend and pattern identification",N/A,N/A,"Paris, Île-de-France, France",78,"Tech alignment (40%): The job snippet does not specify particular tools, but the user has strong relevant software experience (Python, ArcGIS, OpendTect, Leapfrog Geo) commonly used in geophysics roles, scoring ~75%. Experience level (30%): The user has a current professional role at CNRS, two master's degrees, and prior research internships, aligning well with a mid-level geophysicist position, scoring ~80%. Domain relevance (20%): The user's background in seismicity analysis, seismic data interpretation, and geophysics directly matches the core responsibility of analyzing and interpreting seismic data, scoring ~90%. Constraints (10%): The user is currently based in France (working at Laboratoire Geoazur, CNRS), and the role is in Paris, France — geographically compatible, scoring ~85%. Weighted score: (0.75*40) + (0.80*30) + (0.90*20) + (0.85*10) = 30 + 24 + 18 + 8.5 = 80.5, rounded to 78 accounting for limited job detail.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/seismic-data-analyst-at-airswift-4153203548
Machine Learning Engineer (Geophysics/Geochemistry),N/A,Mid-level,"['Design machine learning systems for geophysical and geochemical data interpretation', 'Fine-tune machine learning models', 'Deploy machine learning systems in production environments']","['Machine learning', 'Geophysical data interpretation', 'Geochemical data analysis', 'Model deployment', 'Data science']","['Machine learning frameworks (e.g., TensorFlow, PyTorch)', 'Python', 'Data processing pipelines']",N/A,"Paris, France (On-site)",42,"{'tech_alignment': {'weight': 0.4, 'score': 35, 'comment': 'The user knows Python and has some programming background, but lacks explicit ML/deep learning framework experience (TensorFlow, PyTorch, scikit-learn). No mention of model training, fine-tuning, or deployment skills. The ML engineering core is largely absent from the profile.'}, 'experience_level': {'weight': 0.3, 'score': 45, 'comment': ""The user has a solid academic and research background with two Master's degrees and active professional experience since 2025. However, the role is ML-engineering focused at a mid-senior level, and the user's experience is primarily in geological/geophysical research rather than ML system development.""}, 'domain_relevance': {'weight': 0.2, 'score': 70, 'comment': ""Strong domain overlap in geophysics and geological data interpretation. The user's background in seismicity analysis, DAS, and numerical geology aligns well with interpreting complex geophysical data, which is a key part of the role.""}, 'constraints': {'weight': 0.1, 'score': 60, 'comment': 'The user is currently based at Laboratoire Geoazur (CNRS), likely in the south of France (Nice/Sophia Antipolis area). The role is Paris-based, which may require relocation. No explicit location preference is stated in the profile.'}}",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/ai-engineer-at-lithosquare-4417098644
Geophysical Technician / Graduate Imaging Geophysicist,N/A,Entry to Mid-Level,N/A,"Geophysics, seismic imaging, geophysical data acquisition and processing",N/A,French,France,72,"The job listing is a broad aggregation of 358 geophysical technician roles in France, with two specific mentions: a Technicien géophysique and a Graduate Imaging Geophysicist (CDI). The user has strong domain relevance given their background in geophysics, seismology, and numerical geology (20/20 on domain). Experience level is a partial match: the 'Graduate' and 'Technician' labels align reasonably with the user's early-career profile, though their master's degrees and research experience place them slightly above pure technician level (20/30). Tech alignment is limited due to the lack of specific tool requirements listed in the snippet; however, the user's Python, C++, ArcGIS, OpendTect, and seismic analysis skills are broadly relevant (25/40). Location is a good fit since the user is already based in France (working at Laboratoire Geoazur), satisfying the France constraint (8/10).",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/geophysical-technician-emplois
N/A,N/A,N/A,"Geological, geophysical, or geochemical analysis; data visualization; written and verbal communication (full responsibilities not provided in snippet).","Geological analysis, geophysical analysis, geochemical analysis, data visualization, exceptional written and verbal communication.","Geological, geophysical, or geochemical analysis software; data visualization tools.",N/A,N/A,72,"Tech alignment (40%): The user has strong proficiency in geophysical/geological analysis software (ArcGIS, Leapfrog Geo, OpendTect, Python, C++) which aligns well with the job requirement for geological/geophysical analysis tools; score ~80%. Experience level (30%): Seniority level is unspecified in the snippet, but the user has a mix of internship, research, and current engineering roles suggesting mid-junior level; without clear seniority requirements, a neutral score of ~70% is assigned. Domain relevance (20%): The user's background in geophysics, seismology, and geological engineering is directly relevant to a role requiring geological/geophysical/geochemical analysis; score ~90%. Constraints (10%): Location and remote policy are not specified, so no penalty but no bonus either; score ~60%. Weighted average: (0.40*80) + (0.30*70) + (0.20*90) + (0.10*60) = 32 + 21 + 18 + 6 = 77, adjusted slightly downward to 72 given the very limited job snippet information and inability to confirm full alignment.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/geologist-at-micro1-4369941857
